Model_nodos,NCBI_Product_accesion,Astyanax_ortologos,ID
KHC,NP_476590.1,"[('XP_015463949.3', 'KIF5BB'), ('XP_049320617.1', 'KIF5BB')]",949
KHC-73,NP_001261000.1,"[('XP_049323919.1', 'KIF13A'), ('XP_049323923.1', 'KIF13A'), ('XP_049323910.1', 'KIF13A'), ('XP_049323921.1', 'KIF13A')]",950
KIBRA,NP_001287329.1,"[('XP_007244486.3', 'WWC1')]",951
KIF19A,NP_996208.1,"[('XP_049320788.1', 'KIF19'), ('XP_049320787.1', 'KIF19'), ('XP_049320790.1', 'KIF19'), ('XP_049320789.1', 'KIF19')]",952
KIRRE,NP_726844.1,"[('XP_049323015.1', 'KIRREL3L'), ('XP_049334481.1', 'KIRREL1B'), ('XP_049334480.1', 'KIRREL1B')]",953
KKV,NP_730928.2,"[('XP_022537815.2', 'CHS1'), ('XP_007250610.3', 'LOC103046676'), ('XP_049328358.1', 'LOC107197720')]",954
KLG,NP_524454.2,"[('XP_049335055.1', 'NEGR1'), ('XP_007249141.3', 'NEGR1'), ('XP_015461252.3', 'NEGR1')]",955
KLP10A,NP_572687.1,"[('XP_022536518.2', 'LOC103035435'), ('XP_022536517.2', 'LOC103035435'), ('XP_022536516.2', 'LOC103035435'), ('XP_049324849.1', 'LOC103035435'), ('XP_022526288.2', 'KIF2A'), ('XP_022526289.2', 'KIF2A')]",956
KLP31E,NP_609398.2,"[('XP_049330601.1', 'KIF21A'), ('XP_049329622.1', 'LOC103029962'), ('XP_049329618.1', 'LOC103029962'), ('XP_049329621.1', 'LOC103029962'), ('XP_049329617.1', 'LOC103029962'), ('XP_049329616.1', 'LOC103029962'), ('XP_007235011.3', 'LOC103029962'), ('XP_049329615.1', 'LOC103029962'), ('XP_049329620.1', 'LOC103029962'), ('XP_049329613.1', 'LOC103029962'), ('XP_049329614.1', 'LOC103029962'), ('XP_049329612.1', 'LOC103029962'), ('XP_007228276.3', 'KIF21A'), ('XP_049330599.1', 'KIF21A'), ('XP_049330600.1', 'KIF21A'), ('XP_049330598.1', 'KIF21A')]",957
KLP68D,NP_524029.2,"[('XP_007250834.1', 'KIF3B'), ('XP_022533059.1', 'KIF3B'), ('XP_049342306.1', 'KIF3B')]",958
KLP98A,NP_001247339.1,"[('XP_049321168.1', 'KIF1C'), ('XP_007246877.3', 'KIF1B'), ('XP_015458978.3', 'SI:CH73-375G18.1'), ('XP_007240786.3', 'SI:CH73-375G18.1'), ('XP_022532678.2', 'KIF1B')]",959
KN,NP_001097317.1,"[('XP_049320411.1', 'EBF3A'), ('XP_022524821.1', 'EBF3A'), ('XP_022524819.1', 'EBF3A'), ('XP_022524815.1', 'EBF3A'), ('XP_022524814.1', 'EBF3A'), ('XP_022524808.1', 'EBF3A'), ('XP_022524805.1', 'EBF3A'), ('XP_022524820.1', 'EBF3A'), ('XP_022524807.1', 'EBF3A'), ('XP_022524804.1', 'EBF3A'), ('XP_022524806.1', 'EBF3A'), ('XP_022524809.1', 'EBF3A'), ('XP_022524816.1', 'EBF3A'), ('XP_022524817.1', 'EBF3A'), ('XP_022524812.1', 'EBF3A'), ('XP_022524810.1', 'EBF3A'), ('XP_049339852.1', 'EBF1A'), ('XP_022524813.1', 'EBF3A'), ('XP_022524818.1', 'EBF3A'), ('XP_022524811.1', 'EBF3A'), ('XP_049339851.1', 'EBF1A'), ('XP_049339850.1', 'EBF1A'), ('XP_049339849.1', 'EBF1A'), ('XP_022532127.2', 'LOC103022853'), ('XP_049322714.1', 'EBF1B')]",960
KOKO,NP_732338.1,"[('XP_007249931.3', 'CCNQ')]",961
KON,NP_609881.3,"[('XP_022536687.2', 'LOC103040857'), ('XP_007250542.3', 'CSPG4BA')]",962
KR-H2,NP_523490.1,"[('XP_007239107.1', 'TMEM33')]",963
KRAKEN,NP_477265.1,"[('XP_007253197.3', 'SERHL'), ('XP_022530391.2', 'SERHL')]",964
KRT95D,NP_732935.2,"[('XP_049322728.1', 'PACS1A'), ('XP_049321635.1', 'SI:CH211-126J24.1'), ('XP_049322729.1', 'PACS1A'), ('XP_007260790.3', 'PACS1A'), ('XP_049321634.1', 'SI:CH211-126J24.1'), ('XP_049337651.1', 'ZMP:0000000755'), ('XP_015460887.1', 'PACS2'), ('XP_049337650.1', 'ZMP:0000000755'), ('XP_007247647.1', 'PACS2'), ('XP_049337648.1', 'ZMP:0000000755'), ('XP_007247646.1', 'PACS2')]",965
KRZ,NP_524988.1,"[('XP_049324815.1', 'ARRB2A'), ('XP_049324818.1', 'ARRB2A'), ('XP_022541181.1', 'ARRB1'), ('XP_022541182.1', 'ARRB1'), ('XP_049323131.1', 'ARRB1'), ('XP_049324814.1', 'ARRB2A'), ('XP_049324816.1', 'ARRB2A'), ('XP_049338429.1', 'ARRB2B')]",966
KSR,NP_524236.2,"[('XP_022523001.2', 'KSR2'), ('XP_049326648.1', 'KSR2'), ('XP_022536696.2', 'KSR1A')]",967
KST,NP_001097492.2,"[('XP_049319614.1', 'SPTBN5')]",968
KUA,NP_610026.1,"[('XP_007249253.1', 'SI:CH211-212O1.2')]",969
KUG,NP_001027138.2,"[('XP_049328162.1', 'FAT1A')]",970
KUZ,NP_001097160.2,"[('XP_049327111.1', 'ADAM10A'), ('XP_007244409.2', 'LOC103027184')]",971
KZ,NP_476591.1,"[('XP_007247251.3', 'DHX37'), ('XP_007247252.3', 'DHX37')]",972
L,NP_001188929.1,"[('XP_049339659.1', 'ZNF423'), ('XP_049339657.1', 'ZNF423'), ('XP_049339658.1', 'ZNF423')]",973
L(1)G0004,NP_608387.1,"[('XP_007247401.1', 'PNO1')]",974
L(1)G0020,NP_572503.1,"[('XP_022520087.1', 'NAT10')]",975
L(1)G0196,NP_001285535.1,"[('XP_049324466.1', 'PPIP5K2'), ('XP_049324465.1', 'PPIP5K2'), ('XP_049324464.1', 'PPIP5K2'), ('XP_049324462.1', 'PPIP5K2'), ('XP_049324463.1', 'PPIP5K2'), ('XP_049324475.1', 'PPIP5K2'), ('XP_049324468.1', 'PPIP5K2'), ('XP_049324467.1', 'PPIP5K2'), ('XP_049324469.1', 'PPIP5K2'), ('XP_049324470.1', 'PPIP5K2'), ('XP_049324471.1', 'PPIP5K2'), ('XP_049324472.1', 'PPIP5K2'), ('XP_049324473.1', 'PPIP5K2'), ('XP_049324474.1', 'PPIP5K2'), ('XP_049327101.1', 'PPIP5K1A'), ('XP_049327096.1', 'PPIP5K1A'), ('XP_049327097.1', 'PPIP5K1A'), ('XP_049327098.1', 'PPIP5K1A'), ('XP_049327099.1', 'PPIP5K1A'), ('XP_049327100.1', 'PPIP5K1A'), ('XP_049327102.1', 'PPIP5K1A'), ('XP_022539824.2', 'PPIP5K1B'), ('XP_022539832.2', 'PPIP5K1B'), ('XP_022539834.2', 'PPIP5K1B'), ('XP_022539836.2', 'PPIP5K1B')]",976
L(1)G0289,NP_572621.1,"[('XP_049339016.1', 'PLXDC2A'), ('XP_049339015.1', 'PLXDC2A')]",977
L(1)G0320,NP_572567.1,"[('XP_007236042.3', 'SSR1'), ('XP_049336546.1', 'SSR1'), ('XP_007236043.3', 'SSR1'), ('XP_049336547.1', 'SSR1')]",978
L(2)09851,NP_610182.3,"[('XP_007256542.3', 'GRWD1')]",979
L(2)34FC,NP_609710.1,"[('XP_049321620.1', 'SI:DKEY-251I10.2')]",980
L(2)34FD,NP_609711.1,"[('XP_022528851.2', 'NOL10'), ('XP_007257382.3', 'NOL10')]",981
L(2)EFL,NP_523827.1,"[('XP_007228751.1', 'CRYAA'), ('XP_007245279.1', 'CRYABB')]",982
L(2)GD1,NP_001245976.1,"[('XP_022530198.2', 'CC2D1A'), ('XP_022530194.2', 'CC2D1A'), ('XP_022530195.2', 'CC2D1A')]",983
L(2)K01209,NP_611206.3,"[('XP_049336367.1', 'SI:CH211-243J20.2'), ('XP_049336364.1', 'SI:CH211-243J20.2'), ('XP_007229015.3', 'UCKL1B'), ('XP_022533264.2', 'UCKL1B'), ('XP_022526796.2', 'UCKL1A'), ('XP_007229014.3', 'UCKL1B'), ('XP_007229016.3', 'UCKL1B'), ('XP_049341705.1', 'UCKL1A'), ('XP_049341704.1', 'UCKL1A'), ('XP_022526794.2', 'UCKL1A'), ('XP_022526795.2', 'UCKL1A')]",984
L(2)K05819,NP_722974.1,"[('XP_022526072.2', 'TMEM94'), ('XP_022526073.2', 'TMEM94')]",985
L(2)K09022,NP_609079.2,"[('XP_022524857.2', 'HEATR1'), ('XP_049320586.1', 'HEATR1')]",986
L(3)07882,NP_652040.2,"[('XP_022532058.2', 'NOP14'), ('XP_022532059.2', 'NOP14')]",987
L(3)73AH,NP_524933.1,"[('XP_022527814.1', 'LOC103041260')]",988
L(3)NEO43,NP_650443.3,"[('XP_049337040.1', 'LOC103031497')]",989
LAC,NP_523713.2,"[('XP_049335055.1', 'NEGR1'), ('XP_007249141.3', 'NEGR1')]",990
LAM,NP_476616.1,"[('XP_007246229.3', 'LMNB2')]",991
LAMA,NP_729060.2,"[('XP_007260459.2', 'PLBD2')]",992
LANA,NP_476617.1,"[('XP_022533328.2', 'LAMA5'), ('XP_022533327.2', 'LAMA5'), ('XP_022533330.2', 'LAMA5')]",993
LANB1,NP_476618.1,"[('XP_007249921.3', 'LAMB2'), ('XP_022533139.2', 'LAMB2')]",994
LANB2,NP_524006.1,"[('XP_022533612.2', 'LAMC1')]",995
LAP,NP_001262339.1,"[('XP_049324479.1', 'PICALMA'), ('XP_049324478.1', 'PICALMA'), ('XP_022537111.2', 'PICALMA'), ('XP_049324477.1', 'PICALMA'), ('XP_022537113.2', 'PICALMA')]",996
LAR,NP_001260597.1,"[('XP_049335762.1', 'PTPRFA'), ('XP_049335760.1', 'PTPRFA'), ('XP_022537706.1', 'LOC103034479'), ('XP_049335759.1', 'PTPRFA'), ('XP_049334868.1', 'PTPRFB'), ('XP_022537690.1', 'LOC103034479'), ('XP_049334870.1', 'PTPRFB'), ('XP_022537689.1', 'LOC103034479'), ('XP_049334869.1', 'PTPRFB'), ('XP_022537688.1', 'LOC103034479'), ('XP_049328488.1', 'LOC103034479')]",997
LARK,NP_523957.1,"[('XP_007250243.3', 'RBM4.2'), ('XP_007250244.3', 'RBM4.2'), ('XP_022534269.2', 'RBM4.2'), ('XP_007250242.3', 'RBM4.2')]",998
LARP,NP_733244.5,"[('XP_015457643.2', 'LARP1'), ('XP_015457642.2', 'LARP1'), ('XP_015457645.2', 'LARP1'), ('XP_015457644.2', 'LARP1')]",999
LASP,NP_001246799.1,"[('XP_049334556.1', 'NEBL'), ('XP_049334557.1', 'NEBL')]",1000
LBR,NP_726114.1,"[('XP_007245473.3', 'LBR')]",1001
LDBR,NP_996022.1,"[('XP_022536212.2', 'DBR1')]",1002
LDS,NP_524850.2,"[('XP_049341002.1', 'TTF2')]",1003
LECTIN-28C,NP_652636.2,"[('XP_022519161.2', 'LOC111189784'), ('XP_049338948.1', 'LOC103023891'), ('XP_049338949.1', 'LOC103023891')]",1004
LETM1,NP_611922.1,"[('XP_007230963.3', 'LETM1'), ('XP_022540648.2', 'LETM1'), ('XP_049337061.1', 'LETM1'), ('XP_007230959.3', 'LETM1'), ('XP_049337060.1', 'LETM1'), ('XP_049337059.1', 'LETM1'), ('XP_049337058.1', 'LETM1')]",1005
LGR3,NP_733115.1,"[('XP_049324893.1', 'RXFP2A')]",1006
LIC,NP_477162.1,"[('XP_049320274.1', 'MAP2K6'), ('XP_049320273.1', 'MAP2K6')]",1007
LIM1,NP_572505.1,"[('XP_049323199.1', 'LHX1A'), ('XP_007256591.3', 'LHX5')]",1008
LIM3,NP_001260559.1,"[('XP_049341744.1', 'LHX4'), ('XP_007237040.3', 'LHX4'), ('XP_022522124.1', 'LHX3'), ('XP_049321869.1', 'LHX3')]",1009
LIMK1,NP_727621.1,"[('XP_022534770.1', 'LIMK1A')]",1010
LIPRIN-ALPHA,NP_001260155.1,"[('XP_049339277.1', 'PPFIA1'), ('XP_049339276.1', 'PPFIA1'), ('XP_049339275.1', 'PPFIA1'), ('XP_022527196.2', 'PPFIA2'), ('XP_049329862.1', 'PPFIA2'), ('XP_022527200.2', 'PPFIA2'), ('XP_049329859.1', 'PPFIA2'), ('XP_049329860.1', 'PPFIA2'), ('XP_049329861.1', 'PPFIA2'), ('XP_022527189.2', 'PPFIA2')]",1011
LIS-1,NP_477160.1,"[('XP_007260779.1', 'PAFAH1B1B'), ('XP_049322328.1', 'PAFAH1B1B'), ('XP_049322329.1', 'PAFAH1B1B'), ('XP_007245978.1', 'PAFAH1B1A'), ('XP_049322744.1', 'PAFAH1B1A')]",1012
LKB1,NP_650302.1,"[('XP_022534643.1', 'STK11'), ('XP_022534644.1', 'STK11')]",1013
LMPT,NP_648930.1,"[('XP_049340152.1', 'TES')]",1014
LNK,NP_001287536.1,"[('XP_007258469.1', 'LOC103023327'), ('XP_022518346.1', 'LOC103023327')]",1015
LOCO,NP_732773.1,"[('XP_022540224.2', 'RGS12B'), ('XP_022540223.2', 'RGS12B')]",1016
LOJ,NP_729140.2,"[('XP_007234393.2', 'TMED6')]",1017
LOQS,NP_609646.1,"[('XP_007253435.3', 'TARBP2')]",1018
LPIN,NP_001188874.1,"[('XP_007260232.3', 'LPIN2'), ('XP_007253365.3', 'ZGC:123305'), ('XP_049320058.1', 'LPIN1A'), ('XP_007240829.3', 'LPIN1A')]",1019
LRP1,NP_001260800.2,"[('XP_049318847.1', 'LRP1AB'), ('XP_049318848.1', 'LRP1AB'), ('XP_049318849.1', 'LRP1AB'), ('XP_049318850.1', 'LRP1AB'), ('XP_049318851.1', 'LRP1AB'), ('XP_049327867.1', 'LRP1AA'), ('XP_049327869.1', 'LRP1AA'), ('XP_049327866.1', 'LRP1AA'), ('XP_049327868.1', 'LRP1AA'), ('XP_049327870.1', 'LRP1AA'), ('XP_049326841.1', 'LRP1BA')]",1020
LSN,NP_650987.1,"[('XP_007259169.1', 'SNF8')]",1021
LUTE,NP_001247149.1,"[('XP_007238994.3', 'BTBD3A'), ('XP_007230992.3', 'BTBD6B'), ('XP_007230993.3', 'BTBD6B'), ('XP_049338141.1', 'BTBD6B'), ('XP_007230989.3', 'BTBD6B')]",1022
M6,NP_649323.2,"[('XP_049337366.1', 'GPM6AB'), ('XP_049337365.1', 'GPM6AB')]",1023
MAB-21,NP_651971.2,"[('XP_007258589.2', 'MAB21L1'), ('XP_015462159.2', 'MAB21L2')]",1024
MAD,NP_001259992.1,"[('XP_007246514.2', 'SMAD5'), ('XP_007229821.1', 'SMAD9'), ('XP_049324909.1', 'SMAD9'), ('XP_049324910.1', 'SMAD9'), ('XP_049324908.1', 'SMAD9'), ('XP_007230546.2', 'SMAD1'), ('XP_007230547.2', 'SMAD1'), ('XP_022540189.1', 'SMAD1')]",1025
MADM,NP_649581.1,"[('XP_007253965.1', 'NRBP1')]",1026
MAGI,NP_611551.1,"[('XP_049327382.1', 'MAGI1B'), ('XP_049327384.1', 'MAGI1B'), ('XP_007256493.3', 'MAGI1B'), ('XP_049327380.1', 'MAGI1B'), ('XP_049327381.1', 'MAGI1B'), ('XP_022526520.1', 'MAGI1A'), ('XP_049341682.1', 'MAGI1A'), ('XP_007237076.3', 'MAGI1A'), ('XP_049341685.1', 'MAGI1A'), ('XP_022526517.2', 'MAGI1A'), ('XP_049341683.1', 'MAGI1A')]",1027
MANF,NP_477445.1,"[('XP_022537930.1', 'MANF')]",1028
MAPK-AK2,NP_524769.1,"[('XP_007247806.2', 'MAPKAPK2A'), ('XP_007247807.2', 'MAPKAPK2A'), ('XP_022538104.2', 'MAPKAPK3')]",1029
MAPMODULIN,NP_523780.1,"[('XP_022522790.2', 'ANP32A'), ('XP_007237556.3', 'LOC103035064'), ('XP_022522504.1', 'ANP32B'), ('XP_022522503.1', 'ANP32B')]",1030
MAT1,NP_610605.1,"[('XP_049337378.1', 'MNAT1')]",1031
MAT89BA,NP_650530.2,"[('XP_007243971.3', 'NOL6')]",1032
MATS,NP_651041.3,"[('XP_007257762.1', 'MOB1BA'), ('XP_007234040.1', 'MOB1BB'), ('XP_007239745.1', 'MOB1A')]",1033
MAX,NP_649097.1,"[('XP_022518955.1', 'MAX'), ('XP_007230429.2', 'LOC103037189'), ('XP_022518944.1', 'MAX')]",1034
MBC,NP_001247267.1,"[('XP_049320893.1', 'DOCK1'), ('XP_049320892.1', 'DOCK1'), ('XP_007228077.3', 'LOC103035845')]",1035
MBF1,NP_001261952.1,"[('XP_022523476.1', 'LOC103033746')]",1036
MBL,NP_001413638.1,"[('XP_022534845.2', 'LOC103026224'), ('XP_022534844.2', 'LOC103026224'), ('XP_022534843.2', 'LOC103026224'), ('XP_022534842.2', 'LOC103026224'), ('XP_022534841.2', 'LOC103026224'), ('XP_022534840.2', 'LOC103026224'), ('XP_022534839.2', 'LOC103026224'), ('XP_022534837.2', 'LOC103026224'), ('XP_022534838.2', 'LOC103026224'), ('XP_049334613.1', 'LOC103026224'), ('XP_022539960.2', 'MBNL3'), ('XP_022539959.2', 'MBNL3'), ('XP_022536013.2', 'MBNL2'), ('XP_049339980.1', 'MBNL3'), ('XP_022536012.2', 'MBNL2'), ('XP_022536011.2', 'MBNL2'), ('XP_049339979.1', 'MBNL3'), ('XP_022536010.2', 'MBNL2'), ('XP_049339978.1', 'MBNL3'), ('XP_022539955.2', 'MBNL3'), ('XP_022536009.2', 'MBNL2'), ('XP_022536007.2', 'MBNL2'), ('XP_022536008.2', 'MBNL2'), ('XP_049339977.1', 'MBNL3'), ('XP_049339975.1', 'MBNL3')]",1037
MBT,NP_523375.2,"[('XP_007232883.2', 'PAK5'), ('XP_007232888.2', 'PAK5'), ('XP_007232884.2', 'PAK5'), ('XP_022542542.2', 'PAK5'), ('XP_007245971.3', 'PAK4')]",1038
MCM5,NP_524308.2,"[('XP_022529328.1', 'MCM5')]",1039
MCM6,NP_511065.1,"[('XP_022534429.2', 'MCM6L'), ('XP_007230927.3', 'MCM6')]",1040
MCM7,NP_523984.1,"[('XP_022532531.2', 'MCM7')]",1041
MCT1,NP_477334.2,"[('XP_022526773.1', 'SLC16A4'), ('XP_022526774.1', 'SLC16A4')]",1042
MCTP,NP_001261078.1,"[('XP_049326784.1', 'MCTP1A'), ('XP_007243968.3', 'MCTP1A'), ('XP_007243969.2', 'MCTP1A'), ('XP_022523298.2', 'MCTP1A'), ('XP_049324626.1', 'MCTP1B'), ('XP_007243966.3', 'MCTP1A'), ('XP_049324625.1', 'MCTP1B')]",1043
MDH2,NP_650696.1,"[('XP_007259481.1', 'MDH2')]",1044
MDR49,NP_523724.2,"[('XP_049336165.1', 'ABCB5'), ('XP_049336166.1', 'ABCB5'), ('XP_022529704.2', 'ABCB5'), ('XP_022529702.2', 'ABCB5'), ('XP_022529703.2', 'ABCB5'), ('XP_049336168.1', 'ABCB5'), ('XP_049336167.1', 'ABCB5'), ('XP_022529700.2', 'ABCB5'), ('XP_049336164.1', 'ABCB5'), ('XP_022535927.2', 'ABCB11A'), ('XP_049336163.1', 'ABCB5'), ('XP_022529701.2', 'ABCB5'), ('XP_049336162.1', 'ABCB5'), ('XP_022525386.2', 'ABCB11B')]",1045
MDR50,NP_523740.3,"[('XP_049320497.1', 'ABCB4')]",1046
MDR65,NP_476831.1,"[('XP_049320497.1', 'ABCB4')]",1047
ME31B,NP_523533.2,"[('XP_007259595.2', 'DDX6'), ('XP_007258341.1', 'LOC103037120'), ('XP_007258342.1', 'LOC103037120'), ('XP_007249635.1', 'DDX61')]",1048
MED,NP_524610.1,"[('XP_022536614.1', 'SMAD4A'), ('XP_049326768.1', 'SMAD4'), ('XP_049326764.1', 'SMAD4'), ('XP_049326765.1', 'SMAD4'), ('XP_049326766.1', 'SMAD4'), ('XP_049326767.1', 'SMAD4'), ('XP_022536615.1', 'SMAD4A'), ('XP_007254784.1', 'SMAD10A'), ('XP_007254785.1', 'SMAD10A')]",1049
MED14,NP_728534.2,"[('XP_007227916.2', 'MED14'), ('XP_007227915.2', 'MED14')]",1050
MED24,NP_648185.1,"[('XP_022524890.2', 'MED24'), ('XP_049320798.1', 'MED24')]",1051
MED25,NP_650854.1,"[('XP_022529731.1', 'MED25'), ('XP_022529723.1', 'MED25'), ('XP_022529720.1', 'MED25')]",1052
MED6,NP_001163577.1,"[('XP_007247631.3', 'MED6')]",1053
MED8,NP_722456.1,"[('XP_007244222.2', 'MED8')]",1054
MEF2,NP_001260842.1,"[('XP_049339623.1', 'MEF2AA'), ('XP_049339618.1', 'MEF2AA'), ('XP_049339619.1', 'MEF2AA'), ('XP_049339620.1', 'MEF2AA'), ('XP_049339621.1', 'MEF2AA'), ('XP_049326607.1', 'MEF2CB'), ('XP_022523294.2', 'MEF2CB'), ('XP_007246199.3', 'MEF2AB'), ('XP_007246200.3', 'MEF2AB'), ('XP_007246202.3', 'MEF2AB'), ('XP_015460501.3', 'MEF2AB'), ('XP_015460502.3', 'MEF2AB'), ('XP_049326603.1', 'MEF2CB'), ('XP_049326604.1', 'MEF2CB'), ('XP_049326605.1', 'MEF2CB'), ('XP_049326606.1', 'MEF2CB')]",1055
MEI-W68,NP_995901.1,"[('XP_049319002.1', 'SPO11')]",1056
MEKK1,NP_732373.1,"[('XP_049328111.1', 'MAP3K4'), ('XP_049328110.1', 'MAP3K4'), ('XP_007231296.3', 'MAP3K4')]",1057
MELT,NP_523953.2,"[('XP_022535509.2', 'VEPH1')]",1058
MEN,NP_524880.2,"[('XP_007227871.2', 'ME3'), ('XP_022536323.1', 'ME3'), ('XP_022534916.2', 'ME1')]",1059
MESK2,NP_726076.1,"[('XP_007250820.2', 'NDRG3B'), ('XP_007250819.2', 'NDRG3B'), ('XP_007248468.3', 'NDRG3A'), ('XP_007248466.3', 'NDRG3A'), ('XP_022529281.1', 'NDRG1B'), ('XP_007248467.3', 'NDRG3A'), ('XP_007250821.2', 'NDRG3B'), ('XP_007258907.2', 'NDRG1A'), ('XP_007258908.2', 'NDRG1A')]",1060
MESR6,NP_001262033.1,"[('XP_022534855.2', 'C4H5ORF22')]",1061
METRO,NP_001286309.1,"[('XP_022526018.2', 'MPP7A'), ('XP_022526019.2', 'MPP7A'), ('XP_049320520.1', 'MPP7A')]",1062
MEW,NP_001285196.1,"[('XP_049325658.1', 'ITGA6B'), ('XP_049325659.1', 'ITGA6B'), ('XP_049325660.1', 'ITGA6B')]",1063
MFAP1,NP_647679.1,"[('XP_007240805.1', 'MFAP1')]",1064
MFRN,NP_651600.1,"[('XP_007235288.2', 'SLC25A37'), ('XP_007240440.1', 'SLC25A28')]",1065
MGAT2,NP_001014684.1,"[('XP_007230796.3', 'MGAT2')]",1066
MGE,NP_728910.1,"[('XP_007251311.1', 'TOMM22')]",1067
MHC,NP_723999.1,"[('XP_007249994.3', 'MYH7BB')]",1068
MHCL,NP_732108.2,"[('XP_022526701.2', 'MYO18AB'), ('XP_022526709.2', 'MYO18AB'), ('XP_049324751.1', 'MYO18AA'), ('XP_049324748.1', 'MYO18AA')]",1069
MI-2,NP_649154.2,"[('XP_049327656.1', 'CHD5'), ('XP_015457462.3', 'CHD5'), ('XP_049327657.1', 'CHD5'), ('XP_049327658.1', 'CHD5'), ('XP_007256941.3', 'CHD4B'), ('XP_007230592.3', 'CHD4A'), ('XP_049332182.1', 'CHD4A'), ('XP_049332183.1', 'CHD4A'), ('XP_049332184.1', 'CHD4A'), ('XP_049332185.1', 'CHD4A'), ('XP_022529532.2', 'CHD4B'), ('XP_022529533.2', 'CHD4B'), ('XP_022529534.2', 'CHD4B'), ('XP_022529535.2', 'CHD4B'), ('XP_007248103.3', 'CHD3'), ('XP_007248102.3', 'CHD3'), ('XP_007248104.3', 'CHD3'), ('XP_049338015.1', 'CHD3')]",1070
MIB1,NP_648826.2,"[('XP_022534406.1', 'MIB1'), ('XP_022534407.1', 'MIB1'), ('XP_022534408.1', 'MIB1'), ('XP_022534409.1', 'MIB1'), ('XP_049332501.1', 'MIB1'), ('XP_049332502.1', 'MIB1'), ('XP_022534410.1', 'MIB1')]",1071
MIB2,NP_609933.1,"[('XP_022526498.2', 'MIB2'), ('XP_022526497.2', 'MIB2')]",1072
MILT,NP_723249.1,"[('XP_022529380.2', 'TRAK1A'), ('XP_022529384.2', 'TRAK1A')]",1073
MIO,NP_608656.1,"[('XP_007242238.2', 'MIOS'), ('XP_022535614.1', 'MIOS')]",1074
MIP130,NP_569958.2,"[('XP_007253976.1', 'LIN9')]",1075
MIPP1,NP_524109.2,"[('XP_007244648.3', 'LOC103047786')]",1076
MIPP2,NP_511055.1,"[('XP_007251220.2', 'MINPP1B')]",1077
MKK4,NP_477353.1,"[('XP_022522975.1', 'MAP2K4A'), ('XP_007257275.1', 'MAP2K4B'), ('XP_022522974.1', 'MAP2K4A'), ('XP_022522973.1', 'MAP2K4A'), ('XP_007257274.1', 'MAP2K4B'), ('XP_022522972.1', 'MAP2K4A'), ('XP_022522971.1', 'MAP2K4A'), ('XP_022522970.1', 'MAP2K4A'), ('XP_022522969.1', 'MAP2K4A')]",1078
MKP3,NP_001262031.1,"[('XP_022538335.1', 'DUSP7'), ('XP_007234248.1', 'DUSP6')]",1079
MLC-C,NP_511049.1,"[('XP_007254313.1', 'MYL6'), ('XP_007246827.1', 'ZGC:153867'), ('XP_007254312.1', 'MYL6'), ('XP_022532636.1', 'ZGC:153867'), ('XP_049318720.1', 'ZGC:153867'), ('XP_022532635.1', 'ZGC:153867')]",1080
MLF,NP_523753.1,"[('XP_007258451.2', 'MLF1')]",1081
MMP1,NP_001189002.1,"[('XP_049320703.1', 'MMP25B'), ('XP_049320704.1', 'MMP25B'), ('XP_022520140.1', 'MMP24'), ('XP_007250437.3', 'LOC103046458'), ('XP_007250280.3', 'MMP14A'), ('XP_049336154.1', 'LOC103046458'), ('XP_049321440.1', 'MMP15B')]",1082
MMP2,NP_995788.1,"[('XP_049323820.1', 'MMP25A')]",1083
MMY,NP_609032.1,"[('XP_007258426.3', 'UAP1'), ('XP_007258424.3', 'UAP1'), ('XP_049335321.1', 'UAP1')]",1084
MND,NP_524074.1,"[('XP_007258116.3', 'SLC7A8B'), ('XP_022523119.2', 'SLC7A6'), ('XP_049321354.1', 'SLC7A6'), ('XP_007248079.3', 'SLC7A7'), ('XP_022534144.2', 'SLC7A7'), ('XP_007233864.3', 'SLC7A8A'), ('XP_049338416.1', 'LOC111194272')]",1085
MNN1,NP_001036342.1,"[('XP_007255770.1', 'MEN1'), ('XP_007255771.1', 'MEN1'), ('XP_049338842.1', 'MEN1')]",1086
MOCS1,NP_788494.1,"[('XP_022528918.1', 'MOCS1')]",1087
MOE,NP_525082.2,"[('XP_022530504.1', 'LOC103042331'), ('XP_049322783.1', 'MSNA')]",1088
MOL,NP_001036362.1,"[('XP_007246594.1', 'DUOX2')]",1089
MOR,NP_001189230.1,"[('XP_049335117.1', 'SMARCC2'), ('XP_022531490.2', 'SMARCC2'), ('XP_049335116.1', 'SMARCC2'), ('XP_022541576.2', 'SMARCC1A')]",1090
MOS,NP_610817.1,"[('XP_007231081.1', 'MOS')]",1091
MP20,NP_001014522.2,"[('XP_049332440.1', 'TAGLN2')]",1092
MR,NP_611862.1,"[('XP_007236726.3', 'ANAPC2')]",1093
MRJ,NP_725541.1,"[('XP_022535954.1', 'DNAJB2'), ('XP_022522403.2', 'DNAJB6B'), ('XP_022535953.1', 'DNAJB2'), ('XP_049337907.1', 'DNAJB6B'), ('XP_049334430.1', 'DNAJB6A')]",1094
MRN,NP_648780.1,"[('XP_015456360.3', 'GTF2H4')]",1095
MRPL1,NP_524275.1,"[('XP_022520634.1', 'MRPL1'), ('XP_015458321.1', 'MRPL1')]",1096
MRPL10,NP_523440.1,"[('XP_007259227.3', 'MRPL10')]",1097
MRPL13,NP_523598.2,"[('XP_007234157.1', 'MRPL13')]",1098
