,Ast,a,a2,Dmel,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
16862,Astyanax_pachon,KAG9281802.1,NDOR1,Drosophila_melanogaster,NP_648220.1,CG13667,1.8199999999999998e-119,428.0,1.15e-119,428.0
13077,Astyanax_pachon,KAG9276629.1,NDRG1,Drosophila_melanogaster,NP_726077.1,MESK2,1.8000000000000001e-56,218.0,1.38e-56,218.0
663,Astyanax_pachon,KAG9260460.1,NDRG3,Drosophila_melanogaster,NP_995916.1,MESK2,1.1600000000000001e-57,222.0,8.32e-58,222.0
9737,Astyanax_pachon,KAG9272022.1,NDRG4,Drosophila_melanogaster,NP_995916.1,MESK2,1.43e-54,212.0,8.52e-55,212.0
4720,Astyanax_pachon,KAG9265815.1,NDST1,Drosophila_melanogaster,NP_001163354.1,SFL,2.9e-281,966.0,2.3000000000000002e-281,966.0
12290,Astyanax_pachon,KAG9275541.1,NDST2,Drosophila_melanogaster,NP_001163354.1,SFL,3.4599999999999995e-288,989.0,2.7499999999999997e-288,989.0
245,Astyanax_pachon,KAG9259819.1,NDST4,Drosophila_melanogaster,NP_001163354.1,SFL,1.14e-280,964.0,9.21e-281,964.0
9160,Astyanax_pachon,KAG9271265.1,NDUFA10,Drosophila_melanogaster,NP_001262821.1,ND-42,7.330000000000001e-47,186.0,5.69e-47,186.0
5535,Astyanax_pachon,KAG9266732.1,NDUFA11,Drosophila_melanogaster,NP_611538.1,ND-B14.7,2.52e-08,56.6,2.13e-08,56.6
15848,Astyanax_pachon,KAG9280450.1,NDUFA12,Drosophila_melanogaster,NP_001137770.1,ND-B17.2,4.3699999999999995e-30,129.0,2.8599999999999998e-30,129.0
14456,Astyanax_pachon,KAG9278651.1,NDUFA13,Drosophila_melanogaster,NP_001284943.1,ND-B16.6,7.08e-17,85.1,5.09e-17,85.1
5011,Astyanax_pachon,KAG9266165.1,NDUFA2,Drosophila_melanogaster,NP_652341.1,ND-B8,9.78e-18,87.4,6.38e-18,87.4
3689,Astyanax_pachon,KAG9264461.1,NDUFA4,Drosophila_melanogaster,NP_001262235.1,ND-MLRQ,4.7e-18,88.2,3.2e-18,88.2
15585,Astyanax_pachon,KAG9280134.1,NDUFA5,Drosophila_melanogaster,NP_648409.1,ND-13B,2.6700000000000003e-32,136.0,1.95e-32,136.0
14765,Astyanax_pachon,KAG9279106.1,NDUFA6,Drosophila_melanogaster,NP_001260877.1,ND-B14,4.64e-31,132.0,3.12e-31,132.0
8495,Astyanax_pachon,KAG9270315.1,NDUFA7,Drosophila_melanogaster,NP_001284805.1,ND-B14.5A,1.92e-14,76.6,1.23e-14,76.6
2772,Astyanax_pachon,KAG9263276.1,NDUFA8,Drosophila_melanogaster,NP_001163296.1,ND-19,7.669999999999999e-38,155.0,5.25e-38,155.0
9649,Astyanax_pachon,KAG9271961.1,NDUFA9,Drosophila_melanogaster,NP_001262116.1,ND-39,4.1799999999999997e-69,260.0,3.0799999999999997e-69,260.0
1969,Astyanax_pachon,KAG9262267.1,NDUFAB1,Drosophila_melanogaster,NP_477003.1,ND-ACP,2.3099999999999998e-30,130.0,1.53e-30,130.0
11743,Astyanax_pachon,KAG9274919.1,NDUFAF1,Drosophila_melanogaster,NP_651718.1,CIA30,6.32e-47,186.0,4.1400000000000004e-47,186.0
8949,Astyanax_pachon,KAG9270938.1,NDUFAF2,Drosophila_melanogaster,NP_001246121.1,CG43346,2.51e-12,70.1,1.62e-12,70.1
842,Astyanax_pachon,KAG9260702.1,NDUFAF3,Drosophila_melanogaster,NP_611840.1,CG5569,1.4699999999999999e-24,111.0,1.03e-24,111.0
2267,Astyanax_pachon,KAG9262638.1,NDUFAF5,Drosophila_melanogaster,NP_001260960.1,CG8067,3.48e-87,320.0,2.14e-87,320.0
12641,Astyanax_pachon,KAG9276135.1,NDUFAF6,Drosophila_melanogaster,NP_001285142.1,SICILY,2.1199999999999998e-48,191.0,1.4599999999999998e-48,191.0
3564,Astyanax_pachon,KAG9264300.1,NDUFB10,Drosophila_melanogaster,NP_651972.1,ND-PDSW,5.5600000000000006e-21,99.0,3.44e-21,99.0
8342,Astyanax_pachon,KAG9270178.1,NDUFB11,Drosophila_melanogaster,NP_650774.1,NP15.6,3.99e-09,59.3,2.9e-09,59.3
15893,Astyanax_pachon,KAG9280480.1,NDUFB2,Drosophila_melanogaster,NP_001015476.1,ND-AGGG,6.01e-12,68.2,3.8e-12,68.2
9561,Astyanax_pachon,KAG9271807.1,NDUFB3,Drosophila_melanogaster,NP_001097399.1,ND-B12,5.36e-10,61.6,4.31e-10,61.6
13871,Astyanax_pachon,KAG9277722.1,NDUFB5,Drosophila_melanogaster,NP_001261742.1,ND-SGDH,1.1400000000000001e-26,118.0,7.67e-27,118.0
2314,Astyanax_pachon,KAG9262719.1,NDUFB7,Drosophila_melanogaster,NP_001285259.1,ND-B18,2.23e-21,99.8,1.4500000000000002e-21,99.8
6262,Astyanax_pachon,KAG9267522.1,NDUFB8,Drosophila_melanogaster,NP_001027048.1,ND-ASHI,1.77e-20,97.4,1.15e-20,97.4
16561,Astyanax_pachon,KAG9281297.1,NDUFB9,Drosophila_melanogaster,NP_001285889.1,ND-B22,1.71e-25,114.0,9.500000000000001e-26,114.0
4062,Astyanax_pachon,KAG9265023.1,NDUFC2,Drosophila_melanogaster,NP_001259991.1,ND-B14.5B,2.86e-07,52.8,2.03e-07,52.8
9360,Astyanax_pachon,KAG9271493.1,NDUFS1,Drosophila_melanogaster,NP_511083.1,ND-75,6.04e-251,865.0,4.0700000000000006e-251,865.0
11312,Astyanax_pachon,KAG9274187.1,NDUFS2,Drosophila_melanogaster,NP_001259064.1,ND-49,1.76e-204,710.0,1.1899999999999999e-204,710.0
1097,Astyanax_pachon,KAG9260962.1,NDUFS3,Drosophila_melanogaster,NP_647775.1,ND-30,7.04e-89,325.0,5.3099999999999994e-89,325.0
1575,Astyanax_pachon,KAG9261692.1,NDUFS4,Drosophila_melanogaster,NP_573385.1,ND-18,2.41e-36,150.0,1.76e-36,150.0
15122,Astyanax_pachon,KAG9279644.1,NDUFS6,Drosophila_melanogaster,NP_001285613.1,ND-13A,5.37e-24,109.0,2.6599999999999998e-24,109.0
5569,Astyanax_pachon,KAG9266753.1,NDUFS7,Drosophila_melanogaster,NP_001285313.1,ND-20,9.47e-78,288.0,6.09e-78,288.0
9872,Astyanax_pachon,KAG9272207.1,NDUFS8,Drosophila_melanogaster,NP_524719.1,ND-23,5.89e-67,252.0,4.1099999999999994e-67,252.0
14959,Astyanax_pachon,KAG9279397.1,NDUFV1,Drosophila_melanogaster,NP_001285657.1,ND-51,1.1999999999999999e-230,797.0,7.79e-231,797.0
14424,Astyanax_pachon,KAG9278615.1,NDUFV2,Drosophila_melanogaster,NP_001285378.1,ND-24,9.54e-84,308.0,6.36e-84,308.0
14279,Astyanax_pachon,KAG9278460.1,NEBL,Drosophila_melanogaster,NP_001246799.1,LASP,1.5e-44,178.0,1.01e-44,178.0
12582,Astyanax_pachon,KAG9276013.1,NECAP1,Drosophila_melanogaster,NP_996490.1,CG9132,2.5e-59,227.0,1.56e-59,227.0
848,Astyanax_pachon,KAG9260710.1,NECAP2,Drosophila_melanogaster,NP_996490.1,CG9132,1.57e-57,221.0,1.0000000000000001e-57,221.0
10795,Astyanax_pachon,KAG9273447.1,NEDD4,Drosophila_melanogaster,NP_730283.1,NEDD4,1.73e-218,758.0,8.64e-219,758.0
5109,Astyanax_pachon,KAG9266274.1,NEDD4L,Drosophila_melanogaster,NP_001261991.1,NEDD4,8.940000000000001e-213,739.0,4.7300000000000004e-213,739.0
11482,Astyanax_pachon,KAG9274454.1,NEDD8,Drosophila_melanogaster,NP_001286070.1,NEDD8,1.3e-33,140.0,8.26e-34,140.0
15539,Astyanax_pachon,KAG9280079.1,NEDD9,Drosophila_melanogaster,NP_001137860.1,P130CAS,4.64e-45,181.0,2.5399999999999998e-45,181.0
13562,Astyanax_pachon,KAG9277250.1,NEGR1,Drosophila_melanogaster,NP_524454.2,KLG,6.61e-28,123.0,7.02e-28,123.0
17857,Astyanax_pachon,KAG9283147.1,NEK2,Drosophila_melanogaster,NP_649882.1,ADUK,7.99e-31,133.0,5.850000000000001e-31,133.0
4309,Astyanax_pachon,KAG9265263.1,NEK8,Drosophila_melanogaster,NP_651293.1,NIKI,1.6999999999999999e-84,312.0,1.38e-84,312.0
7351,Astyanax_pachon,KAG9268786.1,NEK9,Drosophila_melanogaster,NP_651293.1,NIKI,2.96e-82,305.0,1.77e-82,305.0
1729,Astyanax_pachon,KAG9261928.1,NELFB,Drosophila_melanogaster,NP_572402.1,NELF-B,1.61e-156,551.0,1.1000000000000001e-156,551.0
27,Astyanax_pachon,KAG9259423.1,NELFCD,Drosophila_melanogaster,NP_001285326.1,TH1,2.06e-182,637.0,1.3899999999999999e-182,637.0
6888,Astyanax_pachon,KAG9268213.1,NEMF,Drosophila_melanogaster,NP_001163721.1,CLBN,1.44e-218,758.0,8.97e-219,758.0
8021,Astyanax_pachon,KAG9269804.1,NEMP1,Drosophila_melanogaster,NP_573142.1,NEMP,1.58e-36,152.0,1.0900000000000001e-36,152.0
5845,Astyanax_pachon,KAG9267092.1,NEO1,Drosophila_melanogaster,NP_725185.1,FRA,1.09e-203,709.0,6.999999999999999e-204,709.0
2102,Astyanax_pachon,KAG9262444.1,NEURL1,Drosophila_melanogaster,NP_001163563.1,NEUR,2.6e-62,238.0,2.09e-62,238.0
6395,Astyanax_pachon,KAG9267676.1,NEURL2,Drosophila_melanogaster,NP_611963.5,CG3894,9.890000000000001e-37,152.0,7.730000000000001e-37,152.0
6724,Astyanax_pachon,KAG9268061.1,NEURL4,Drosophila_melanogaster,NP_648688.2,NEURL4,1.09e-246,852.0,8.120000000000001e-247,852.0
2595,Astyanax_pachon,KAG9263087.1,NF1,Drosophila_melanogaster,NP_001014668.1,NF1,0.0,2886.0,0.0,2886.0
1808,Astyanax_pachon,KAG9262008.1,NF2,Drosophila_melanogaster,NP_001285458.1,MER,8.69e-120,429.0,6.28e-120,429.0
691,Astyanax_pachon,KAG9260482.1,NFS1,Drosophila_melanogaster,NP_609533.1,NFS1,7.719999999999999e-189,658.0,5.29e-189,658.0
11224,Astyanax_pachon,KAG9274085.1,NFX1,Drosophila_melanogaster,NP_001260460.1,STC,1.31e-177,622.0,8.619999999999999e-178,622.0
7676,Astyanax_pachon,KAG9269404.1,NFXL1,Drosophila_melanogaster,NP_647879.1,CG15011,1.24e-162,572.0,7.45e-163,572.0
15688,Astyanax_pachon,KAG9280220.1,NFYB,Drosophila_melanogaster,NP_001286089.1,NF-YB,1.4900000000000001e-33,141.0,7.67e-34,141.0
17909,Astyanax_pachon,KAG9283227.1,NGDN,Drosophila_melanogaster,NP_001260103.1,CG11030,1.08e-39,162.0,7.78e-40,162.0
14646,Astyanax_pachon,KAG9278913.1,NGLY1,Drosophila_melanogaster,NP_610192.1,PNGL,2.77e-83,308.0,1.66e-83,308.0
6585,Astyanax_pachon,KAG9267901.1,NHLRC2,Drosophila_melanogaster,NP_001036460.1,CG12547,3.3200000000000003e-124,444.0,2.1600000000000002e-124,444.0
3063,Astyanax_pachon,KAG9263659.1,NHLRC3,Drosophila_melanogaster,NP_001286259.1,PAL1,5.62e-12,70.1,5.54e-12,70.1
4597,Astyanax_pachon,KAG9265710.1,NHP2,Drosophila_melanogaster,NP_001261849.1,NHP2,5.79e-28,122.0,4.12e-28,122.0
17875,Astyanax_pachon,KAG9283185.1,NID2,Drosophila_melanogaster,NP_610575.1,NDG,1.8399999999999998e-54,213.0,1.41e-54,213.0
6118,Astyanax_pachon,KAG9267395.1,NIF3L1,Drosophila_melanogaster,NP_609790.1,CG4278,3.39e-49,194.0,1.59e-49,194.0
9098,Astyanax_pachon,KAG9271134.1,NIFK,Drosophila_melanogaster,NP_651066.2,CG6937,3.4199999999999996e-23,107.0,3.0099999999999995e-23,107.0
5538,Astyanax_pachon,KAG9266737.1,NIM1K,Drosophila_melanogaster,NP_608564.3,CG4629,4.0599999999999995e-62,237.0,3.5399999999999997e-62,237.0
8435,Astyanax_pachon,KAG9270236.1,NINJ1,Drosophila_melanogaster,NP_001138042.1,NIJC,1.53e-19,93.6,1.21e-19,93.6
15666,Astyanax_pachon,KAG9280203.1,NINJ2,Drosophila_melanogaster,NP_001138042.1,NIJC,5.35e-19,92.0,3.68e-19,92.0
10304,Astyanax_pachon,KAG9272768.1,NIPA2,Drosophila_melanogaster,NP_609586.1,SPICT,8.14e-94,342.0,5.89e-94,342.0
2559,Astyanax_pachon,KAG9263066.1,NIPBLB,Drosophila_melanogaster,NP_001260703.1,NIPPED-B,9.229999999999999e-278,956.0,4.4e-278,956.0
13559,Astyanax_pachon,KAG9277244.1,NIT2,Drosophila_melanogaster,NP_649888.1,CG8132,9.09e-80,295.0,6.09e-80,295.0
15304,Astyanax_pachon,KAG9279843.1,NKAIN1,Drosophila_melanogaster,NP_001286860.1,NKAIN,4.57e-38,156.0,2.9899999999999997e-38,156.0
17784,Astyanax_pachon,KAG9283072.1,NKAIN2,Drosophila_melanogaster,NP_001163297.1,NKAIN,3.03e-36,150.0,1.85e-36,150.0
8764,Astyanax_pachon,KAG9270716.1,NKAIN3,Drosophila_melanogaster,NP_001163297.1,NKAIN,1.03e-35,148.0,7.41e-36,148.0
7652,Astyanax_pachon,KAG9269307.1,NKAIN4,Drosophila_melanogaster,NP_001286860.1,NKAIN,7.25e-40,162.0,4.67e-40,162.0
3485,Astyanax_pachon,KAG9264245.1,NKIRAS2,Drosophila_melanogaster,NP_001137613.1,KAPPAB-RAS,5.75e-30,129.0,4.0499999999999996e-30,129.0
7191,Astyanax_pachon,KAG9268604.1,NKX2-1,Drosophila_melanogaster,NP_001015473.1,SCRO,4.51e-51,200.0,3.99e-51,200.0
11517,Astyanax_pachon,KAG9274516.1,NLGN2,Drosophila_melanogaster,NP_001036685.2,NLG3,1.1200000000000001e-100,366.0,1.06e-100,366.0
17182,Astyanax_pachon,KAG9282244.1,NLGN3,Drosophila_melanogaster,NP_001036685.2,NLG3,8.860000000000001e-103,373.0,8.260000000000001e-103,373.0
8985,Astyanax_pachon,KAG9270976.1,NLGN4X,Drosophila_melanogaster,NP_001036685.2,NLG3,5.379999999999999e-104,377.0,5.159999999999999e-104,377.0
3994,Astyanax_pachon,KAG9264901.1,NLK,Drosophila_melanogaster,NP_001261555.1,NMO,9.42e-180,628.0,5.2899999999999994e-180,628.0
3679,Astyanax_pachon,KAG9264453.1,NLK.2,Drosophila_melanogaster,NP_001261555.1,NMO,2.29e-174,610.0,1.39e-174,610.0
17416,Astyanax_pachon,KAG9282589.1,NMBR,Drosophila_melanogaster,NP_611241.2,CCHA1-R,3.0500000000000002e-49,194.0,2.72e-49,194.0
14305,Astyanax_pachon,KAG9278518.1,NMD3,Drosophila_melanogaster,NP_477332.1,NMD3,9.86e-155,545.0,6.2e-155,545.0
6745,Astyanax_pachon,KAG9268073.1,NME2,Drosophila_melanogaster,NP_001287625.1,AWD,6.5400000000000005e-59,225.0,4.27e-59,225.0
17583,Astyanax_pachon,KAG9282833.1,NME6,Drosophila_melanogaster,NP_572965.1,NMDYN-D6,1.0600000000000001e-32,138.0,5.9400000000000005e-33,138.0
13881,Astyanax_pachon,KAG9277727.1,NME7,Drosophila_melanogaster,NP_649926.2,NMDYN-D7,4.2100000000000003e-75,280.0,2.73e-75,280.0
7919,Astyanax_pachon,KAG9269722.1,NMNAT1,Drosophila_melanogaster,NP_001262942.1,NMNAT,1.3399999999999998e-54,212.0,7.45e-55,212.0
3459,Astyanax_pachon,KAG9264222.1,NMT1,Drosophila_melanogaster,NP_523969.1,NMT,1.72e-154,544.0,1.12e-154,544.0
18186,Astyanax_pachon,KAG9283631.1,NMT2,Drosophila_melanogaster,NP_523969.1,NMT,1.8e-151,534.0,1.15e-151,534.0
5666,Astyanax_pachon,KAG9266898.1,NMUR1,Drosophila_melanogaster,NP_731788.1,PK2-R2,5.38e-51,200.0,5.11e-51,200.0
434,Astyanax_pachon,KAG9260157.1,NMUR2,Drosophila_melanogaster,NP_996140.1,CAPAR,1.04e-53,209.0,7.949999999999999e-54,209.0
3157,Astyanax_pachon,KAG9263796.1,NOA1,Drosophila_melanogaster,NP_611297.3,CG10914,2.66e-95,348.0,1.49e-95,348.0
10468,Astyanax_pachon,KAG9272966.1,NOB1,Drosophila_melanogaster,NP_001285072.1,CG2972,5.24e-60,230.0,3.75e-60,230.0
9909,Astyanax_pachon,KAG9272268.1,NOCT,Drosophila_melanogaster,NP_001262471.1,CU,1.9e-71,268.0,1.21e-71,268.0
7371,Astyanax_pachon,KAG9268816.1,NOL10,Drosophila_melanogaster,NP_609711.1,L(2)34FD,1.52e-161,568.0,1.0200000000000001e-161,568.0
7779,Astyanax_pachon,KAG9269529.1,NOL4,Drosophila_melanogaster,NP_001334737.1,CG46301,9.39e-45,180.0,1.11e-44,180.0
1678,Astyanax_pachon,KAG9261876.1,NOL6,Drosophila_melanogaster,NP_650530.2,MAT89BA,1.52e-131,469.0,1.07e-131,469.0
11611,Astyanax_pachon,KAG9274699.1,NOM1,Drosophila_melanogaster,NP_647717.1,CG9004,7.51e-99,360.0,4.98e-99,360.0
14088,Astyanax_pachon,KAG9277912.1,NOMO1,Drosophila_melanogaster,NP_610551.1,CG1371,2.0000000000000002e-163,575.0,1.3300000000000001e-163,575.0
342,Astyanax_pachon,KAG9259958.1,NOP10,Drosophila_melanogaster,NP_610610.1,NOP10,1.5600000000000002e-21,99.4,1.05e-21,99.4
4989,Astyanax_pachon,KAG9266145.1,NOP14,Drosophila_melanogaster,NP_001303435.1,L(3)07882,2.33e-100,365.0,1.55e-100,365.0
14381,Astyanax_pachon,KAG9278579.1,NOP53,Drosophila_melanogaster,NP_572502.1,CG1785,9.22e-18,89.7,6.52e-18,89.7
5101,Astyanax_pachon,KAG9266267.1,NOP56,Drosophila_melanogaster,NP_651040.3,NOP56,1.2200000000000001e-164,578.0,6.87e-165,578.0
13761,Astyanax_pachon,KAG9277565.1,NOP58,Drosophila_melanogaster,NP_477412.1,NOP5,2.75e-171,600.0,1.69e-171,600.0
1800,Astyanax_pachon,KAG9261998.1,NOS1,Drosophila_melanogaster,NP_523541.2,NOS,0.0,1091.0,0.0,1091.0
13573,Astyanax_pachon,KAG9277268.1,NOS1AP,Drosophila_melanogaster,NP_729509.1,CG42673,3.19e-65,248.0,2.12e-65,248.0
3412,Astyanax_pachon,KAG9264138.1,NOSIP,Drosophila_melanogaster,NP_573288.1,CG6179,6.62e-72,269.0,4.44e-72,269.0
5794,Astyanax_pachon,KAG9267022.1,NOTUM1A,Drosophila_melanogaster,NP_730096.2,NOTUM,6.87e-98,356.0,6.27e-98,356.0
17107,Astyanax_pachon,KAG9282162.1,NOVA1,Drosophila_melanogaster,NP_001036695.1,PS,1.5600000000000002e-79,295.0,1.1800000000000002e-79,295.0
16110,Astyanax_pachon,KAG9280797.1,NOX5,Drosophila_melanogaster,NP_001286485.1,NOX,2.6000000000000003e-163,574.0,2.84e-163,574.0
4034,Astyanax_pachon,KAG9264987.1,NPAS3,Drosophila_melanogaster,NP_001261210.1,TRH,5.0699999999999996e-104,377.0,4.11e-104,377.0
14525,Astyanax_pachon,KAG9278769.1,NPC1,Drosophila_melanogaster,NP_001285795.1,NPC1A,1.3700000000000001e-276,951.0,9.239999999999998e-277,951.0
7157,Astyanax_pachon,KAG9268558.1,NPC2,Drosophila_melanogaster,NP_608637.1,NPC2A,7.489999999999999e-23,105.0,4.9999999999999997e-23,105.0
25,Astyanax_pachon,KAG9259421.1,NPEPL1,Drosophila_melanogaster,NP_650240.1,GRSM,1.5000000000000001e-181,634.0,1.07e-181,634.0
5476,Astyanax_pachon,KAG9266678.1,NPEPPS,Drosophila_melanogaster,NP_001246546.1,PSA,6.35e-275,945.0,3.99e-275,945.0
3845,Astyanax_pachon,KAG9264674.1,NPHS1,Drosophila_melanogaster,NP_001036532.1,SNS,1.2200000000000001e-133,476.0,1.0800000000000001e-133,476.0
15090,Astyanax_pachon,KAG9279608.1,NPR1,Drosophila_melanogaster,NP_001287342.1,CG31183,2.87e-218,757.0,2.56e-218,757.0
16935,Astyanax_pachon,KAG9281861.1,NPR2,Drosophila_melanogaster,NP_001287342.1,CG31183,9.01e-220,762.0,8.01e-220,762.0
13405,Astyanax_pachon,KAG9277088.1,NPRL2,Drosophila_melanogaster,NP_573174.1,NPRL2,4.52e-88,323.0,3.3e-88,323.0
16244,Astyanax_pachon,KAG9280925.1,NPTN,Drosophila_melanogaster,NP_723338.1,BSG,1.11e-16,85.9,5.03e-17,85.9
1862,Astyanax_pachon,KAG9262106.1,NPY2R,Drosophila_melanogaster,NP_001246946.1,NPFR,3.97e-44,177.0,3.31e-44,177.0
3650,Astyanax_pachon,KAG9264400.1,NR1D1,Drosophila_melanogaster,NP_001303380.1,EIP75B,2.93e-62,238.0,3.0799999999999997e-62,238.0
14643,Astyanax_pachon,KAG9278909.1,NR1D2,Drosophila_melanogaster,NP_001303380.1,EIP75B,5.870000000000001e-59,227.0,6.3e-59,227.0
962,Astyanax_pachon,KAG9260845.1,NR1H3,Drosophila_melanogaster,NP_724459.1,ECR,3.13e-67,254.0,3.17e-67,254.0
15842,Astyanax_pachon,KAG9280449.1,NR2C1-B,Drosophila_melanogaster,NP_001189151.1,HR78,1.52e-50,199.0,1.03e-50,199.0
5424,Astyanax_pachon,KAG9266597.1,NR2C2AP,Drosophila_melanogaster,NP_001097439.2,CG34213,1.7600000000000001e-29,127.0,1.1200000000000001e-29,127.0
17341,Astyanax_pachon,KAG9282493.1,NR2E1,Drosophila_melanogaster,NP_524596.1,TLL,3.97e-81,300.0,3.0399999999999997e-81,300.0
16317,Astyanax_pachon,KAG9281027.1,NR2E3,Drosophila_melanogaster,NP_611032.2,HR51,1.81e-102,371.0,1.66e-102,371.0
1687,Astyanax_pachon,KAG9261883.1,NR2F1A,Drosophila_melanogaster,NP_524325.1,SVP,4.93e-175,612.0,4.38e-175,612.0
10700,Astyanax_pachon,KAG9273264.1,NR2F2,Drosophila_melanogaster,NP_524325.1,SVP,2.56e-175,613.0,2.19e-175,613.0
8028,Astyanax_pachon,KAG9269814.1,NR4A1,Drosophila_melanogaster,NP_724456.1,ECR,1.67e-32,139.0,1.67e-32,139.0
8611,Astyanax_pachon,KAG9270472.1,NR5A2,Drosophila_melanogaster,NP_001246824.1,FTZ-F1,4.59e-84,310.0,5.28e-84,310.0
17747,Astyanax_pachon,KAG9283017.1,NRBP1,Drosophila_melanogaster,NP_001303420.1,MADM,9.01e-133,472.0,7.16e-133,472.0
11073,Astyanax_pachon,KAG9273889.1,NRBP2,Drosophila_melanogaster,NP_001303420.1,MADM,8.9e-127,452.0,7.51e-127,452.0
16188,Astyanax_pachon,KAG9280861.1,NRCAM,Drosophila_melanogaster,NP_001162705.1,NRG,5.64e-158,557.0,3.78e-158,557.0
5437,Astyanax_pachon,KAG9266615.1,NRDC,Drosophila_melanogaster,NP_572757.2,NRD1,8.62e-170,596.0,6.059999999999999e-170,596.0
15943,Astyanax_pachon,KAG9280525.1,NRF1,Drosophila_melanogaster,NP_001014707.1,EWG,4.22e-86,317.0,2.8e-86,317.0
16594,Astyanax_pachon,KAG9281369.1,NRM,Drosophila_melanogaster,NP_650646.1,CG7655,5.49e-25,113.0,3.3399999999999997e-25,113.0
7416,Astyanax_pachon,KAG9268894.1,NRXN3A,Drosophila_melanogaster,NP_001262837.1,NRX-1,1.19e-240,832.0,8.789999999999999e-241,832.0
17370,Astyanax_pachon,KAG9282532.1,NRXN3B,Drosophila_melanogaster,NP_001262837.1,NRX-1,4.48e-246,850.0,3.3499999999999996e-246,850.0
3280,Astyanax_pachon,KAG9263975.1,NSF,Drosophila_melanogaster,NP_001259506.1,COMT,9.120000000000001e-259,891.0,6.19e-259,891.0
7795,Astyanax_pachon,KAG9269567.1,NSFL1C,Drosophila_melanogaster,NP_610284.1,P47,3.59e-56,217.0,2.65e-56,217.0
12527,Astyanax_pachon,KAG9275947.1,NSMCE2,Drosophila_melanogaster,NP_001261988.1,QJT,2.38e-06,50.8,1.63e-06,50.8
15117,Astyanax_pachon,KAG9279639.1,NSUN2,Drosophila_melanogaster,NP_652007.1,NSUN2,4.4499999999999997e-147,520.0,2.98e-147,520.0
14573,Astyanax_pachon,KAG9278842.1,NSUN4,Drosophila_melanogaster,NP_608573.1,L(2)10685,9.409999999999999e-54,209.0,8.379999999999999e-54,209.0
11229,Astyanax_pachon,KAG9274090.1,NSUN6,Drosophila_melanogaster,NP_649425.1,CG11109,6.48e-70,263.0,3.31e-70,263.0
2142,Astyanax_pachon,KAG9262503.1,NT5C2,Drosophila_melanogaster,NP_573289.2,NT5B,1.23e-186,651.0,8.519999999999999e-187,651.0
14283,Astyanax_pachon,KAG9278480.1,NT5C3A,Drosophila_melanogaster,NP_611895.1,CN-IIIB,4.0000000000000004e-57,220.0,2.5900000000000003e-57,220.0
17195,Astyanax_pachon,KAG9282259.1,NT5DC1,Drosophila_melanogaster,NP_001286897.1,NT5A,4.48e-59,227.0,2.76e-59,227.0
8777,Astyanax_pachon,KAG9270738.1,NT5DC2,Drosophila_melanogaster,NP_724801.2,NT5C,4.39e-120,430.0,2.28e-120,430.0
9946,Astyanax_pachon,KAG9272365.1,NT5DC3,Drosophila_melanogaster,NP_724801.2,NT5C,6.38e-125,446.0,3.48e-125,446.0
17314,Astyanax_pachon,KAG9282448.1,NT5E,Drosophila_melanogaster,NP_611218.1,NT5E-2,9.11e-111,399.0,6.21e-111,399.0
13719,Astyanax_pachon,KAG9277479.1,NTAN1,Drosophila_melanogaster,NP_001163199.1,NTAN1,7.249999999999999e-60,229.0,4.93e-60,229.0
2274,Astyanax_pachon,KAG9262658.1,NTHL1,Drosophila_melanogaster,NP_610078.2,NTHL1,1.59e-71,268.0,1.12e-71,268.0
3036,Astyanax_pachon,KAG9263612.1,NTM,Drosophila_melanogaster,NP_001188701.2,DIP-ETA,2.84e-30,131.0,2.27e-30,131.0
16860,Astyanax_pachon,KAG9281801.1,NTMT1,Drosophila_melanogaster,NP_001350855.1,NTMT,1.85e-46,184.0,1.54e-46,184.0
3714,Astyanax_pachon,KAG9264492.1,NTN1,Drosophila_melanogaster,NP_001285243.1,NETA,6.24e-168,589.0,4.91e-168,589.0
11838,Astyanax_pachon,KAG9275022.1,NTPCR,Drosophila_melanogaster,NP_649279.2,CG10581,4.59e-26,116.0,3.1200000000000003e-26,116.0
8533,Astyanax_pachon,KAG9270369.1,NTSR1,Drosophila_melanogaster,NP_731790.1,PK2-R1,1.27e-32,139.0,1.3000000000000001e-32,139.0
12742,Astyanax_pachon,KAG9276263.1,NUB1,Drosophila_melanogaster,NP_651402.1,CG5111,2.3599999999999996e-52,205.0,1.6399999999999998e-52,205.0
3211,Astyanax_pachon,KAG9263852.1,NUBP1,Drosophila_melanogaster,NP_609805.1,NUBP1,8.94e-98,355.0,5.81e-98,355.0
13225,Astyanax_pachon,KAG9276831.1,NUBP2,Drosophila_melanogaster,NP_649243.1,NUBP2,5.1e-74,276.0,2.94e-74,276.0
6792,Astyanax_pachon,KAG9268131.1,NUBPL,Drosophila_melanogaster,NP_001260688.1,NUBPL,4.71e-64,243.0,2.84e-64,243.0
3375,Astyanax_pachon,KAG9264089.1,NUCB1,Drosophila_melanogaster,NP_649008.2,NUCB1,1.11e-56,219.0,9.260000000000001e-57,219.0
14884,Astyanax_pachon,KAG9279296.1,NUDC,Drosophila_melanogaster,NP_001246805.1,NUDC,4.42e-76,283.0,2.93e-76,283.0
2515,Astyanax_pachon,KAG9263009.1,NUDCD3,Drosophila_melanogaster,NP_732260.2,CG31251,1.7699999999999999e-28,125.0,9.86e-29,125.0
