,Dmel,a,a2,Ast,b,b2,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
28309,Drosophila_melanogaster,NP_572504.1,CG1789,Astyanax_mexicanus,XP_022529429.2,UTP11,4.7099999999999995e-25,114.0,2.48e-25,114.0
28310,Drosophila_melanogaster,NP_572505.1,LIM1,Astyanax_mexicanus,XP_049323199.1,LHX1A,9.99e-84,310.0,3.96e-84,310.0
28312,Drosophila_melanogaster,NP_572508.1,RBM13,Astyanax_mexicanus,XP_007229402.2,MAK16,4.8899999999999996e-67,254.0,2.1799999999999998e-67,254.0
28313,Drosophila_melanogaster,NP_572521.2,HP1B,Astyanax_mexicanus,XP_022542304.1,CBX3A,3.31e-42,171.0,1.18e-42,171.0
28319,Drosophila_melanogaster,NP_572524.1,CCT2,Astyanax_mexicanus,XP_015461054.3,CCT2,4.77e-214,743.0,2.36e-214,743.0
28332,Drosophila_melanogaster,NP_572532.1,ZPR1,Astyanax_mexicanus,XP_007258187.3,ZPR1,9.35e-109,393.0,4.48e-109,393.0
28349,Drosophila_melanogaster,NP_572567.1,L(1)G0320,Astyanax_mexicanus,XP_007236042.3,SSR1,1.0399999999999998e-42,173.0,5.06e-43,173.0
28353,Drosophila_melanogaster,NP_572568.1,RPS28B,Astyanax_mexicanus,XP_022534724.1,RPS28,2.65e-22,103.0,1.39e-22,103.0
28369,Drosophila_melanogaster,NP_572577.1,CG3106,Astyanax_mexicanus,XP_022532265.2,OACYL,2.68e-36,153.0,1.22e-36,153.0
28380,Drosophila_melanogaster,NP_572603.1,CG2972,Astyanax_mexicanus,XP_049339243.1,NOB1,2.26e-59,229.0,1.06e-59,229.0
28400,Drosophila_melanogaster,NP_572621.1,L(1)G0289,Astyanax_mexicanus,XP_049339016.1,PLXDC2A,7.3e-63,241.0,3.23e-63,241.0
28415,Drosophila_melanogaster,NP_572658.2,FEO,Astyanax_mexicanus,XP_007235104.2,PRC1A,9.7e-36,151.0,4.2700000000000004e-36,151.0
28433,Drosophila_melanogaster,NP_572686.1,RPT3,Astyanax_mexicanus,XP_022519397.1,PSMC4,1.17e-184,645.0,5.8600000000000004e-185,645.0
28435,Drosophila_melanogaster,NP_572687.1,KLP10A,Astyanax_mexicanus,XP_022536518.2,LOC103035435,2.5e-172,605.0,1.08e-172,605.0
28441,Drosophila_melanogaster,NP_572694.1,DLIC,Astyanax_mexicanus,XP_022521160.2,DYNC1LI2,3.2300000000000003e-107,388.0,1.59e-107,388.0
28454,Drosophila_melanogaster,NP_572717.1,SK1,Astyanax_mexicanus,XP_007252205.3,LOC103023393,9.360000000000001e-64,244.0,3.9000000000000004e-64,244.0
28460,Drosophila_melanogaster,NP_572723.1,SPASE25,Astyanax_mexicanus,XP_049323130.1,SPCS2,9.210000000000001e-35,146.0,4.36e-35,146.0
28463,Drosophila_melanogaster,NP_572736.1,CG1703,Astyanax_mexicanus,XP_022538874.2,ABCF1,6.9e-204,710.0,3.35e-204,710.0
28470,Drosophila_melanogaster,NP_572742.1,PRTP,Astyanax_mexicanus,XP_049319810.1,TXNDC5,1.0299999999999999e-84,313.0,5.01e-85,313.0
28478,Drosophila_melanogaster,NP_572754.1,P24-1,Astyanax_mexicanus,XP_007260848.1,TMED7,2.7599999999999996e-48,191.0,1.3799999999999998e-48,191.0
28491,Drosophila_melanogaster,NP_572767.1,UPF1,Astyanax_mexicanus,XP_022534550.1,UPF1,0.0,1355.0,0.0,1355.0
28497,Drosophila_melanogaster,NP_572778.1,TANGO4,Astyanax_mexicanus,XP_022522922.1,PLRG1,3.81e-83,308.0,2.01e-83,308.0
28502,Drosophila_melanogaster,NP_572800.2,RAB40,Astyanax_mexicanus,XP_007245641.1,RAB40C,1.9199999999999998e-89,328.0,1.0499999999999999e-89,328.0
28529,Drosophila_melanogaster,NP_572839.1,MRPL49,Astyanax_mexicanus,XP_007235479.1,MRPL49,2.83e-19,94.4,1.37e-19,94.4
28554,Drosophila_melanogaster,NP_572852.1,CG2200,Astyanax_mexicanus,XP_022542387.2,SI:DKEY-69O16.5,2.6699999999999997e-69,261.0,1.32e-69,261.0
28567,Drosophila_melanogaster,NP_572866.1,REG,Astyanax_mexicanus,XP_022524637.1,PSME3,7.15e-64,243.0,3.5600000000000004e-64,243.0
28569,Drosophila_melanogaster,NP_572869.1,CG15743,Astyanax_mexicanus,XP_022534341.1,BPNT2,1.74e-56,219.0,8.250000000000001e-57,219.0
28591,Drosophila_melanogaster,NP_572883.1,CG1662,Astyanax_mexicanus,XP_007233216.1,MPV17L2,7.25e-33,140.0,3.17e-33,140.0
28596,Drosophila_melanogaster,NP_572901.1,CG11178,Astyanax_mexicanus,XP_022524855.2,AVL9,4.63e-107,388.0,2.02e-107,388.0
28609,Drosophila_melanogaster,NP_572916.1,CG11134,Astyanax_mexicanus,XP_049326957.1,LOC103033695,9.2e-81,299.0,4.82e-81,299.0
28613,Drosophila_melanogaster,NP_572919.1,RTC1,Astyanax_mexicanus,XP_007229717.2,RCL1,9.59e-113,406.0,4.56e-113,406.0
28618,Drosophila_melanogaster,NP_572928.1,CLIC,Astyanax_mexicanus,XP_022530680.1,LOC103024513,2.65e-22,105.0,1.2500000000000001e-22,105.0
28644,Drosophila_melanogaster,NP_572967.2,CG5321,Astyanax_mexicanus,XP_049326944.1,BBOX1,7.0199999999999994e-74,277.0,3.6899999999999996e-74,277.0
28645,Drosophila_melanogaster,NP_572968.1,CG15890,Astyanax_mexicanus,XP_049320131.1,ZGC:174356,4.6500000000000005e-27,122.0,1.7600000000000003e-27,122.0
28646,Drosophila_melanogaster,NP_572972.1,CG14411,Astyanax_mexicanus,XP_049327270.1,MTMR10,2.4e-66,253.0,1.0400000000000001e-66,253.0
28652,Drosophila_melanogaster,NP_572981.1,CG9514,Astyanax_mexicanus,XP_007237067.3,CHDH,5.4799999999999994e-89,328.0,2.25e-89,328.0
28660,Drosophila_melanogaster,NP_572999.1,CG15027,Astyanax_mexicanus,XP_022518849.1,TMA16,4.24e-18,90.5,2.37e-18,90.5
28696,Drosophila_melanogaster,NP_573023.2,SCAMP,Astyanax_mexicanus,XP_007256607.1,SCAMP1,1.1e-51,203.0,5.36e-52,203.0
28707,Drosophila_melanogaster,NP_573057.1,CG9281,Astyanax_mexicanus,XP_007230382.1,ABCF2B,2.69e-245,847.0,1.3300000000000001e-245,847.0
28727,Drosophila_melanogaster,NP_573070.2,GRAF,Astyanax_mexicanus,XP_022531725.2,ARHGAP42A,3.5200000000000004e-129,462.0,1.5100000000000002e-129,462.0
28741,Drosophila_melanogaster,NP_573084.1,CG15914,Astyanax_mexicanus,XP_007250646.3,GTDC1,5.43e-95,347.0,3.1e-95,347.0
28758,Drosophila_melanogaster,NP_573099.1,CG8939,Astyanax_mexicanus,XP_007246233.3,FTSJ3,3.54e-130,465.0,1.88e-130,465.0
28767,Drosophila_melanogaster,NP_573122.1,CG4239,Astyanax_mexicanus,XP_007233197.2,TMEM38A,9.74e-40,163.0,5.14e-40,163.0
28769,Drosophila_melanogaster,NP_573123.1,TH1,Astyanax_mexicanus,XP_022519445.1,NELFCD,3.3500000000000003e-181,634.0,1.65e-181,634.0
28790,Drosophila_melanogaster,NP_573132.1,CG9903,Astyanax_mexicanus,XP_007232983.1,SLC10A1,2.52e-14,79.3,8.98e-15,79.3
28815,Drosophila_melanogaster,NP_573164.2,CG4768,Astyanax_mexicanus,XP_007260326.1,ZGC:77849,1.31e-10,66.2,6.35e-11,66.2
28816,Drosophila_melanogaster,NP_573166.1,CG4789,Astyanax_mexicanus,XP_007227820.1,RABL3,5.9e-44,177.0,2.48e-44,177.0
28820,Drosophila_melanogaster,NP_573179.1,CG4928,Astyanax_mexicanus,XP_007255421.2,UNC93A,2.42e-96,352.0,1.04e-96,352.0
28821,Drosophila_melanogaster,NP_573180.1,WUS,Astyanax_mexicanus,XP_007246811.3,DNAJC22,1.5e-33,143.0,6.2e-34,143.0
28825,Drosophila_melanogaster,NP_573181.1,CG13001,Astyanax_mexicanus,XP_007228439.1,LOC103036162,3.97e-32,138.0,1.31e-32,138.0
28833,Drosophila_melanogaster,NP_573214.1,CG8611,Astyanax_mexicanus,XP_049326659.1,DDX31,6.08e-113,408.0,2.2399999999999998e-113,408.0
28842,Drosophila_melanogaster,NP_573230.1,CG5800,Astyanax_mexicanus,XP_022531763.2,DDX10,1.18e-153,543.0,6.28e-154,543.0
28851,Drosophila_melanogaster,NP_573237.2,CG8188,Astyanax_mexicanus,XP_007256537.1,UBE2S,1.6e-58,225.0,8.730000000000001e-59,225.0
28854,Drosophila_melanogaster,NP_573239.1,CG8173,Astyanax_mexicanus,XP_007255475.1,PBK,3.27e-49,195.0,1.36e-49,195.0
28861,Drosophila_melanogaster,NP_573252.1,CG6769,Astyanax_mexicanus,XP_022533600.2,ZNF622,1.09e-75,283.0,6.05e-76,283.0
28867,Drosophila_melanogaster,NP_573258.1,VPS4,Astyanax_mexicanus,XP_007240156.2,LOC103033151,4.1900000000000004e-177,620.0,2.03e-177,620.0
28872,Drosophila_melanogaster,NP_573271.1,FRQ1,Astyanax_mexicanus,XP_007257052.1,NCS1A,4.37e-63,240.0,2.19e-63,240.0
28891,Drosophila_melanogaster,NP_573318.1,CG6696,Astyanax_mexicanus,XP_049327322.1,LOC125787317,5.8600000000000005e-37,154.0,2.26e-37,154.0
28894,Drosophila_melanogaster,NP_573323.1,CG6891,Astyanax_mexicanus,XP_007251014.2,COTL1,1.21e-33,142.0,5.19e-34,142.0
28897,Drosophila_melanogaster,NP_573333.2,CG7322,Astyanax_mexicanus,XP_022525017.2,DCXR,1.59e-48,192.0,7.92e-49,192.0
28903,Drosophila_melanogaster,NP_573338.1,CG7332,Astyanax_mexicanus,XP_007242140.2,MINDY3,6.01e-103,374.0,2.4800000000000003e-103,374.0
28930,Drosophila_melanogaster,NP_597678.1,FBL,Astyanax_mexicanus,XP_049319861.1,PANK1A,2.21e-134,478.0,9.74e-135,478.0
29043,Drosophila_melanogaster,NP_599132.2,SYX5,Astyanax_mexicanus,XP_007247496.1,STX5A,3.78e-80,298.0,1.21e-80,298.0
29123,Drosophila_melanogaster,NP_608325.1,CG14220,Astyanax_mexicanus,XP_007240522.2,SUDS3,3.36e-50,198.0,1.61e-50,198.0
29124,Drosophila_melanogaster,NP_608328.1,CG14210,Astyanax_mexicanus,XP_022524008.1,CCDC86,1.97e-07,54.7,1.52e-07,54.7
29135,Drosophila_melanogaster,NP_608337.1,SEC61GAMMA,Astyanax_mexicanus,XP_015462444.1,SEC61G,4.22e-27,119.0,2.0900000000000003e-27,119.0
29137,Drosophila_melanogaster,NP_608339.2,RANBP21,Astyanax_mexicanus,XP_049328361.1,LOC103026856,6.53e-193,674.0,3.17e-193,674.0
29139,Drosophila_melanogaster,NP_608344.1,UBQN,Astyanax_mexicanus,XP_007242226.2,UBQLN4,8.46e-86,317.0,4.59e-86,317.0
29146,Drosophila_melanogaster,NP_608350.2,CG12531,Astyanax_mexicanus,XP_007232733.3,SLC7A14B,1.28e-141,503.0,5.87e-142,503.0
29162,Drosophila_melanogaster,NP_608373.1,RAB35,Astyanax_mexicanus,XP_007255871.1,RAB35A,2.19e-72,271.0,1.0800000000000001e-72,271.0
29174,Drosophila_melanogaster,NP_608387.1,L(1)G0004,Astyanax_mexicanus,XP_007247401.1,PNO1,5.35e-69,260.0,2.62e-69,260.0
29175,Drosophila_melanogaster,NP_608388.2,HERC2,Astyanax_mexicanus,XP_022531525.2,HERC2,0.0,3463.0,0.0,3463.0
29180,Drosophila_melanogaster,NP_608393.1,CG11710,Astyanax_mexicanus,XP_022525712.2,TRIP4,3.25e-82,305.0,1.77e-82,305.0
29184,Drosophila_melanogaster,NP_608397.1,CG1812,Astyanax_mexicanus,XP_007233201.3,KLHL26,1.0399999999999999e-45,184.0,5.03e-46,184.0
29187,Drosophila_melanogaster,NP_608422.1,NTF-2,Astyanax_mexicanus,XP_007256282.1,NUTF2,9.58e-20,95.5,4.62e-20,95.5
29208,Drosophila_melanogaster,NP_608458.1,CG14621,Astyanax_mexicanus,XP_007233192.1,SLC35E1,4.8400000000000005e-79,294.0,2.39e-79,294.0
29209,Drosophila_melanogaster,NP_608460.1,TILB,Astyanax_mexicanus,XP_022534970.2,DNAAF11,9.449999999999999e-60,230.0,5.62e-60,230.0
29212,Drosophila_melanogaster,NP_608464.1,CG14618,Astyanax_mexicanus,XP_007255122.2,TRMT10A,3.87e-29,128.0,1.9900000000000002e-29,128.0
29213,Drosophila_melanogaster,NP_608468.1,CG17598,Astyanax_mexicanus,XP_007232452.3,LOC103042295,6.29e-87,321.0,2.44e-87,321.0
29251,Drosophila_melanogaster,NP_608516.1,CG11562,Astyanax_mexicanus,XP_022521115.1,LOC111191186,5.34e-07,53.1,1.65e-07,53.1
29260,Drosophila_melanogaster,NP_608521.1,CG13690,Astyanax_mexicanus,XP_049325670.1,RNASEH2A,1.1200000000000001e-79,296.0,4.91e-80,296.0
29269,Drosophila_melanogaster,NP_608533.1,CG2794,Astyanax_mexicanus,XP_007252903.3,ZGC:136858,2.4799999999999998e-126,452.0,1.23e-126,452.0
29271,Drosophila_melanogaster,NP_608535.1,IPK2,Astyanax_mexicanus,XP_007240427.3,IPMKA,9.37e-30,130.0,6.2599999999999994e-30,130.0
29275,Drosophila_melanogaster,NP_608549.2,CG3662,Astyanax_mexicanus,XP_022539456.1,LOC103040018,9.2e-13,73.6,3.54e-13,73.6
29296,Drosophila_melanogaster,NP_608583.5,CG4896,Astyanax_mexicanus,XP_049335423.1,RBM5,8.66e-65,248.0,3.79e-65,248.0
29298,Drosophila_melanogaster,NP_608585.1,TGT,Astyanax_mexicanus,XP_022523789.2,QTRT1,3.36e-142,504.0,1.61e-142,504.0
29303,Drosophila_melanogaster,NP_608590.2,CG42329,Astyanax_mexicanus,XP_022532265.2,OACYL,1.5600000000000002e-37,157.0,7.6e-38,157.0
29312,Drosophila_melanogaster,NP_608616.2,CG31937,Astyanax_mexicanus,XP_007247609.3,DHRS7,1.35e-46,186.0,7.04e-47,186.0
29314,Drosophila_melanogaster,NP_608619.1,CG17712,Astyanax_mexicanus,XP_007256973.2,GFOD1,2.3700000000000002e-85,315.0,1.2e-85,315.0
29317,Drosophila_melanogaster,NP_608632.1,DER-1,Astyanax_mexicanus,XP_022529996.1,DERL1,1.97e-52,205.0,1.0199999999999999e-52,205.0
29332,Drosophila_melanogaster,NP_608656.1,MIO,Astyanax_mexicanus,XP_007242238.2,MIOS,1.97e-124,446.0,9.82e-125,446.0
29343,Drosophila_melanogaster,NP_608669.1,CG9967,Astyanax_mexicanus,XP_007229687.1,MKRN2OS.2,3.38e-20,98.2,1.27e-20,98.2
29353,Drosophila_melanogaster,NP_608684.1,CG9886,Astyanax_mexicanus,XP_007239342.3,GLYCTK,2.22e-65,249.0,1.19e-65,249.0
29368,Drosophila_melanogaster,NP_608710.1,APH-1,Astyanax_mexicanus,XP_007241959.2,APH1B,2.39e-53,208.0,1.28e-53,208.0
29371,Drosophila_melanogaster,NP_608715.2,DUOX,Astyanax_mexicanus,XP_015460600.3,DUOX,0.0,1038.0,0.0,1038.0
29372,Drosophila_melanogaster,NP_608733.1,CG9643,Astyanax_mexicanus,XP_007255150.2,EEF1AKMT2,3.69e-46,184.0,1.86e-46,184.0
29380,Drosophila_melanogaster,NP_608746.1,CG17221,Astyanax_mexicanus,XP_007257649.2,RTN4IP1,8.09e-56,217.0,3.89e-56,217.0
29384,Drosophila_melanogaster,NP_608751.2,HYDR2,Astyanax_mexicanus,XP_049340159.1,ABHD2B,3.75e-90,331.0,2e-90,331.0
29402,Drosophila_melanogaster,NP_608819.1,CG3702,Astyanax_mexicanus,XP_007239801.3,CLPTM1,5.939999999999999e-180,630.0,2.9199999999999997e-180,630.0
29426,Drosophila_melanogaster,NP_608848.1,CG3355,Astyanax_mexicanus,XP_007249193.3,LOC103047373,1.3500000000000002e-43,176.0,5.92e-44,176.0
29433,Drosophila_melanogaster,NP_608860.1,CG3225,Astyanax_mexicanus,XP_022522164.1,DHX35,4.7900000000000004e-185,647.0,2.4400000000000003e-185,647.0
29444,Drosophila_melanogaster,NP_608871.1,CG3008,Astyanax_mexicanus,XP_022522649.2,RIOK3,5.3e-99,361.0,2.2e-99,361.0
29449,Drosophila_melanogaster,NP_608876.1,HOE1,Astyanax_mexicanus,XP_022530769.2,OCA2,1.3699999999999998e-138,493.0,5.74e-139,493.0
29452,Drosophila_melanogaster,NP_608884.1,SCOX,Astyanax_mexicanus,XP_022529120.2,LOC103027271,6.990000000000001e-70,263.0,4.06e-70,263.0
29455,Drosophila_melanogaster,NP_608887.1,MRPL28,Astyanax_mexicanus,XP_007231084.1,MRPL28,7.500000000000001e-26,117.0,3.1000000000000004e-26,117.0
29459,Drosophila_melanogaster,NP_608889.1,CG3792,Astyanax_mexicanus,XP_049338903.1,MPDU1B,1.54e-57,222.0,7.710000000000001e-58,222.0
29461,Drosophila_melanogaster,NP_608891.1,CG8892,Astyanax_mexicanus,XP_022524063.2,UBXN7,4.7e-31,135.0,2.39e-31,135.0
29476,Drosophila_melanogaster,NP_608930.1,CL,Astyanax_mexicanus,XP_049323124.1,TXNDC17,4.01e-24,110.0,1.93e-24,110.0
29494,Drosophila_melanogaster,NP_608956.1,CG11030,Astyanax_mexicanus,XP_007260178.2,NGDN,1.4599999999999998e-40,166.0,6.93e-41,166.0
29495,Drosophila_melanogaster,NP_608968.2,BCHS,Astyanax_mexicanus,XP_022520535.2,WDFY3,0.0,2907.0,0.0,2907.0
29500,Drosophila_melanogaster,NP_608979.2,CG9098,Astyanax_mexicanus,XP_007230073.3,SH2D3CB,1.35e-66,254.0,4.53e-67,254.0
29511,Drosophila_melanogaster,NP_608982.2,CG9109,Astyanax_mexicanus,XP_022524493.1,B3GLCTA,4.44e-77,288.0,2.0500000000000002e-77,288.0
29513,Drosophila_melanogaster,NP_608985.1,CG9135,Astyanax_mexicanus,XP_007243311.1,RCC2,1.95e-111,402.0,9.77e-112,402.0
29552,Drosophila_melanogaster,NP_609013.1,PEZ,Astyanax_mexicanus,XP_049319812.1,PTPN21,1.44e-93,344.0,6.689999999999999e-94,344.0
29563,Drosophila_melanogaster,NP_609029.1,FRJ,Astyanax_mexicanus,XP_007256927.1,MBOAT7,1e-49,197.0,4.77e-50,197.0
29566,Drosophila_melanogaster,NP_609032.1,MMY,Astyanax_mexicanus,XP_007258426.3,UAP1,6.869999999999999e-135,480.0,3.29e-135,480.0
29571,Drosophila_melanogaster,NP_609034.1,SEC61ALPHA,Astyanax_mexicanus,XP_007254317.1,SEC61A1,3.99e-251,866.0,1.97e-251,866.0
29576,Drosophila_melanogaster,NP_609040.1,CG9547,Astyanax_mexicanus,XP_049323601.1,GCDHB,2.7300000000000004e-166,584.0,1.41e-166,584.0
29577,Drosophila_melanogaster,NP_609043.1,CG31637,Astyanax_mexicanus,XP_007242514.1,CHST6,2.06e-19,96.3,8.34e-20,96.3
29589,Drosophila_melanogaster,NP_609055.2,OATP26F,Astyanax_mexicanus,XP_022533066.2,SLCO4A1,5.08e-151,534.0,2.72e-151,534.0
29609,Drosophila_melanogaster,NP_609079.2,L(2)K09022,Astyanax_mexicanus,XP_022524857.2,HEATR1,2.96e-184,646.0,1.51e-184,646.0
29638,Drosophila_melanogaster,NP_609103.1,CG4502,Astyanax_mexicanus,XP_007231772.3,UBE2QL1,3.75e-57,221.0,1.7100000000000002e-57,221.0
29640,Drosophila_melanogaster,NP_609108.3,WNT6,Astyanax_mexicanus,XP_022542391.1,WNT6B,7.74e-93,340.0,3.22e-93,340.0
29641,Drosophila_melanogaster,NP_609109.4,WNT10,Astyanax_mexicanus,XP_007235655.2,WNT10A,3.05e-85,315.0,1.18e-85,315.0
29649,Drosophila_melanogaster,NP_609117.4,CHM,Astyanax_mexicanus,XP_022525067.1,KAT7B,7.03e-130,464.0,2.36e-130,464.0
29691,Drosophila_melanogaster,NP_609176.1,BAF,Astyanax_mexicanus,XP_022531908.1,BANF1,2.13e-32,137.0,1.0500000000000001e-32,137.0
29719,Drosophila_melanogaster,NP_609199.1,SNX6,Astyanax_mexicanus,XP_007240532.1,SNX6,1.12e-112,406.0,5.03e-113,406.0
29725,Drosophila_melanogaster,NP_609202.1,WOL,Astyanax_mexicanus,XP_022537204.2,ALG5,1.15e-98,359.0,5.69e-99,359.0
29743,Drosophila_melanogaster,NP_609239.1,MRPL51,Astyanax_mexicanus,XP_049336253.1,MRPL51,3.58e-09,60.8,1.26e-09,60.8
29756,Drosophila_melanogaster,NP_609246.1,PRBP,Astyanax_mexicanus,XP_007248303.1,PDE6D,1.24e-49,195.0,6.09e-50,195.0
29759,Drosophila_melanogaster,NP_609258.1,C1GALTA,Astyanax_mexicanus,XP_022532626.2,C1GALT1LA,1.5e-86,319.0,7.63e-87,319.0
29762,Drosophila_melanogaster,NP_609277.1,CG9586,Astyanax_mexicanus,XP_022533162.2,CCDC43,1.38e-12,72.4,6.87e-13,72.4
29763,Drosophila_melanogaster,NP_609285.1,ALDH,Astyanax_mexicanus,XP_022541281.1,LOC103036383,7.97e-204,709.0,3.94e-204,709.0
29775,Drosophila_melanogaster,NP_609320.2,ETL1,Astyanax_mexicanus,XP_007257862.2,SMARCAD1B,1.04e-143,510.0,5.620000000000001e-144,510.0
29780,Drosophila_melanogaster,NP_609321.1,CG5885,Astyanax_mexicanus,XP_007232148.1,SSR3,3.7200000000000004e-56,217.0,1.79e-56,217.0
29781,Drosophila_melanogaster,NP_609322.1,CG4598,Astyanax_mexicanus,XP_022531622.1,ECI1,4.62e-49,194.0,2.48e-49,194.0
29783,Drosophila_melanogaster,NP_609330.1,CG13126,Astyanax_mexicanus,XP_022519320.2,METTL17,4.54e-56,218.0,2.24e-56,218.0
29798,Drosophila_melanogaster,NP_609361.1,EEF1DELTA,Astyanax_mexicanus,XP_022534451.2,EEF1DA,1.68e-48,192.0,1.4499999999999998e-48,192.0
29827,Drosophila_melanogaster,NP_609370.2,HAND,Astyanax_mexicanus,XP_022540220.1,HAND2,1.1099999999999999e-23,109.0,6.28e-24,109.0
29830,Drosophila_melanogaster,NP_609373.1,NMD,Astyanax_mexicanus,XP_049326557.1,ATAD1A,1.9800000000000001e-103,375.0,1.0000000000000001e-103,375.0
29833,Drosophila_melanogaster,NP_609374.1,CG5390,Astyanax_mexicanus,XP_007239143.3,TMPRSS13A,3.85e-31,135.0,2.36e-31,135.0
29834,Drosophila_melanogaster,NP_609375.1,CG4968,Astyanax_mexicanus,XP_007248127.2,OTUB1B,1.4200000000000002e-72,272.0,7.14e-73,272.0
29858,Drosophila_melanogaster,NP_609398.2,KLP31E,Astyanax_mexicanus,XP_049330601.1,KIF21A,5.09e-174,611.0,3.77e-174,611.0
29874,Drosophila_melanogaster,NP_609399.1,RFC3,Astyanax_mexicanus,XP_007229467.1,RFC5,4.1499999999999997e-113,407.0,2.06e-113,407.0
29878,Drosophila_melanogaster,NP_609401.2,CG5188,Astyanax_mexicanus,XP_022530341.2,METAP1D,3.37e-75,281.0,1.85e-75,281.0
29891,Drosophila_melanogaster,NP_609416.1,CG6094,Astyanax_mexicanus,XP_007257255.1,MRPL58,8.26e-22,103.0,3.98e-22,103.0
29901,Drosophila_melanogaster,NP_609441.1,CG6415,Astyanax_mexicanus,XP_007236741.2,AMT,2.1700000000000001e-103,375.0,1.0900000000000001e-103,375.0
29907,Drosophila_melanogaster,NP_609450.1,CG17124,Astyanax_mexicanus,XP_049338737.1,PPP1R14BB,1.33e-07,55.1,6.7e-08,55.1
29919,Drosophila_melanogaster,NP_609492.1,CSL4,Astyanax_mexicanus,XP_022530220.1,EXOSC1,4.4e-44,177.0,2.06e-44,177.0
29922,Drosophila_melanogaster,NP_609496.1,CG6287,Astyanax_mexicanus,XP_007260013.3,PHGDH,7.649999999999999e-94,343.0,6.14e-94,343.0
29923,Drosophila_melanogaster,NP_609500.1,PPT2,Astyanax_mexicanus,XP_049331230.1,PPT2B,1.0799999999999999e-61,236.0,5.33e-62,236.0
29925,Drosophila_melanogaster,NP_609519.1,CYCY,Astyanax_mexicanus,XP_007260492.1,CCNYL1,1.78e-99,362.0,7.35e-100,362.0
29940,Drosophila_melanogaster,NP_609542.1,JHI-21,Astyanax_mexicanus,XP_049339985.1,SLC7A5,1.29e-137,489.0,6.66e-138,489.0
30003,Drosophila_melanogaster,NP_609611.1,EDEM2,Astyanax_mexicanus,XP_007245874.3,EDEM3,9.15e-212,736.0,4.94e-212,736.0
30010,Drosophila_melanogaster,NP_609618.2,SKI6,Astyanax_mexicanus,XP_007240080.1,EXOSC4,2.19e-68,258.0,1.08e-68,258.0
30013,Drosophila_melanogaster,NP_609634.1,CG31729,Astyanax_mexicanus,XP_022523064.2,ATP9B,0.0,1288.0,0.0,1288.0
30019,Drosophila_melanogaster,NP_609645.2,CG9302,Astyanax_mexicanus,XP_022536245.1,PDIA5,6.68e-107,387.0,3.42e-107,387.0
30020,Drosophila_melanogaster,NP_609646.1,LOQS,Astyanax_mexicanus,XP_007253435.3,TARBP2,6.11e-48,191.0,2.2299999999999997e-48,191.0
30024,Drosophila_melanogaster,NP_609665.2,ICS,Astyanax_mexicanus,XP_007250432.1,RSU1,6.86e-29,127.0,3.4000000000000003e-29,127.0
30026,Drosophila_melanogaster,NP_609669.1,TM9SF4,Astyanax_mexicanus,XP_007250838.2,TM9SF4,1.56e-230,798.0,7.95e-231,798.0
30027,Drosophila_melanogaster,NP_609675.2,SEC71,Astyanax_mexicanus,XP_049341670.1,ARFGEF1,0.0,2013.0,0.0,2013.0
30037,Drosophila_melanogaster,NP_609710.1,L(2)34FC,Astyanax_mexicanus,XP_049321620.1,SI:DKEY-251I10.2,3.37e-11,67.4,1.98e-11,67.4
30038,Drosophila_melanogaster,NP_609711.1,L(2)34FD,Astyanax_mexicanus,XP_022528851.2,NOL10,3.85e-162,571.0,1.89e-162,571.0
30056,Drosophila_melanogaster,NP_609780.1,PRL-1,Astyanax_mexicanus,XP_007237406.1,PTP4A1,9.04e-51,199.0,4.39e-51,199.0
30070,Drosophila_melanogaster,NP_609789.1,CG5861,Astyanax_mexicanus,XP_049323504.1,TMEM147,5.560000000000001e-57,220.0,2.7200000000000004e-57,220.0
30073,Drosophila_melanogaster,NP_609792.1,CABP1,Astyanax_mexicanus,XP_007257385.1,LOC103027650,6.82e-142,503.0,3.43e-142,503.0
30101,Drosophila_melanogaster,NP_609842.1,SGT,Astyanax_mexicanus,XP_007240265.3,SGTA,5.44e-08,57.8,2.67e-08,57.8
30106,Drosophila_melanogaster,NP_609845.1,CG5131,Astyanax_mexicanus,XP_007229807.3,ATP23,9.760000000000001e-43,173.0,3.98e-43,173.0
30113,Drosophila_melanogaster,NP_609878.1,NTF-2R,Astyanax_mexicanus,XP_007256282.1,NUTF2,4.230000000000001e-21,100.0,2.04e-21,100.0
30116,Drosophila_melanogaster,NP_609881.3,KON,Astyanax_mexicanus,XP_022536687.2,LOC103040857,1.58e-221,770.0,7.91e-222,770.0
30145,Drosophila_melanogaster,NP_609896.1,CG10383,Astyanax_mexicanus,XP_007253962.2,SERAC1,2.29e-63,243.0,8.92e-64,243.0
30150,Drosophila_melanogaster,NP_609899.1,CG10376,Astyanax_mexicanus,XP_022523002.2,PPM1F,4.83e-38,158.0,2.34e-38,158.0
30151,Drosophila_melanogaster,NP_609900.1,CG10343,Astyanax_mexicanus,XP_049338917.1,RWDD,2.5300000000000003e-32,138.0,1.0600000000000001e-32,138.0
30154,Drosophila_melanogaster,NP_609916.5,CG10602,Astyanax_mexicanus,XP_049329313.1,LTA4H,3.5299999999999997e-137,488.0,1.5699999999999998e-137,488.0
